FID	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
 HG00235	-0.0114910229692	0.0272670788274	0.0108044269303	0.0189847015796	0.0071984788020	0.0073921395349	-0.0018131719222	0.0027891536002	0.0173278003177	-0.0371347014561
 HG00236	-0.0109970157339	0.0277286688979	0.0108229913312	0.0198791938808	0.0060960440270	0.0024171843702	-0.0026451158947	-0.0004682580125	0.0180950184507	-0.0407321670198
 HG00237	-0.0113557849261	0.0270831963166	0.0097295718120	0.0189209867495	0.0069730006964	0.0076912210204	-0.0016864975404	0.0027081575786	0.0105641324741	-0.0354549205236
 HG00238	-0.0115348836695	0.0269242900113	0.0099425320776	0.0178984242870	0.0032684259925	0.0052412482536	-0.0004965428954	0.0035933516447	0.0171494925167	-0.0483781896340
 HG00239	-0.0112704394434	0.0279802374717	0.0098439493454	0.0189951304197	0.0098417707337	0.0074708782252	-0.0026153897977	0.0035668141043	0.0145838831420	-0.0283621321958
 HG00240	-0.0116051437990	0.0274689739096	0.0100977300366	0.0177929382025	0.0056993988457	0.0088543770354	-0.0012857833570	0.0030003168444	0.0218370045306	-0.0496017497846
 HG00242	-0.0114171488064	0.0270462977869	0.0116735990926	0.0174025923460	0.0064551977060	0.0049137276704	-0.0014039068484	0.0017639789823	0.0126297691097	-0.0313932943149
 HG00243	-0.0114852099430	0.0274394921172	0.0098093359966	0.0171429543235	0.0061105744828	0.0037666175144	0.0008226329706	0.0030817970844	0.0160148923063	-0.0270482996726
 HG00244	-0.0113470283223	0.0275146172206	0.0105842225468	0.0173993555951	0.0007375357249	0.0069801750243	0.0002366268168	0.0024810182579	0.0129442497097	-0.0296066680509
 HG00245	-0.0111327647202	0.0271015544358	0.0101337115574	0.0190877605752	0.0069612631269	0.0063068506534	0.0005404467328	0.0010846290533	0.0093737005212	-0.0318179051014
 HG00246	-0.0113547023493	0.0269706854024	0.0107080832628	0.0177165908368	0.0051225132780	0.0056463036634	-0.0002440813815	0.0041170157802	0.0054750591799	-0.0269798705612
 HG00250	-0.0116373406346	0.0270783428531	0.0100049146884	0.0174958467690	0.0067580352414	0.0066324790443	-0.0012518588897	0.0003164649761	0.0141164390955	-0.0417810630412
 HG00251	-0.0114645134480	0.0271831887961	0.0103155486272	0.0174933237427	0.0023387390588	0.0024522185350	-0.0019044689405	0.0029884570670	0.0228449917186	-0.0505725731687
 HG00252	-0.0115245921552	0.0273296165908	0.0109285593521	0.0194200569947	0.0064104372723	0.0059469320165	-0.0002431628636	0.0020367530180	0.0152140862361	-0.0302577003623
 HG00253	-0.0114271287677	0.0278796464918	0.0108286179070	0.0188267891550	0.0075657547193	0.0024179269722	0.0010597809982	0.0043750411134	0.0214827731713	-0.0424714082420
 HG00254	-0.0110297160209	0.0273455926444	0.0107469730107	0.0182729702769	0.0021577378625	0.0063724114981	0.0008230440846	0.0017179807311	0.0129862029181	-0.0352958420922
 HG00255	-0.0114124076355	0.0273272566856	0.0106565982000	0.0186671813998	0.0049617311719	0.0085933249747	0.0000738163550	0.0031292688607	0.0175560989938	-0.0392750467612
 HG00256	-0.0116715429706	0.0276323488835	0.0098337962686	0.0189933263270	0.0088766064085	0.0049007096947	0.0023706259771	0.0013055687794	0.0115575284707	-0.0350046070571
 HG00257	-0.0113137416153	0.0274098187060	0.0104390628694	0.0175434287675	0.0098331630793	0.0047929313475	0.0012211882722	0.0016113436427	0.0144038077601	-0.0359361860287
 HG00258	-0.0114906846667	0.0272651820394	0.0116127924207	0.0192593128333	0.0060855099295	0.0075055362210	-0.0003823415392	0.0021701428190	0.0165749804573	-0.0236857538120
 HG00259	-0.0114196364241	0.0275319108495	0.0103679826605	0.0190000749969	0.0043527612830	0.0038400340985	-0.0020612945966	0.0026155900715	0.0197005773795	-0.0386084246780
 HG00260	-0.0115512916561	0.0277105468655	0.0116120100975	0.0182951130164	0.0097243362606	0.0105473548575	-0.0008361033785	-0.0012078094585	0.0126030459081	-0.0182815401983
 HG00261	-0.0113362141704	0.0273963049659	0.0105189267213	0.0196728732872	0.0025323869080	0.0037285826828	-0.0026134479174	0.0008185620484	0.0150663796353	-0.0428053201744
 HG00262	-0.0117555933807	0.0275138786854	0.0098060231848	0.0175861770763	0.0073572073315	0.0106899515496	-0.0027533124934	0.0034137417512	0.0195796958383	-0.0354294500457
 HG00263	-0.0116391462757	0.0278273627648	0.0098201511982	0.0186088941534	0.0031034211757	0.0044954577539	-0.0009328108240	0.0034773605152	0.0043788747052	-0.0446819980608
 HG00264	-0.0113656735709	0.0274036485374	0.0117384375766	0.0169554252087	0.0069414001595	0.0082043437700	0.0013317505731	0.0021190931689	0.0083492026319	-0.0403208307199
 HG00265	-0.0116865557947	0.0283415239298	0.0109968117612	0.0190089260903	0.0081349790289	0.0082909303100	-0.0003167485202	0.0023523498799	0.0340999195161	-0.0582497389684
 HG00266	-0.0118313047304	0.0229902047784	0.0112644835976	0.0168965350562	0.0687879864556	0.0424253615799	-0.0019561997378	-0.0144195888453	-0.0220165696108	0.0339062895415
 HG00267	-0.0122673712009	0.0227674634700	0.0102327512854	0.0171173236282	0.0756618478299	0.0430242051614	0.0001505377114	-0.0125607537931	-0.0211372569496	0.0304240428131
 HG00268	-0.0118566923578	0.0239692484042	0.0112291580113	0.0176388326308	0.0598338392270	0.0389080901522	-0.0015203319182	-0.0078812204851	-0.0037909775444	0.0177550329074
 HG00269	-0.0120078407012	0.0232123225963	0.0108493701829	0.0153005815168	0.0794756685961	0.0489564774304	-0.0029870772612	-0.0131141585491	-0.0205224870666	0.0477645143151
 HG00271	-0.0121554195749	0.0218648508011	0.0107012143483	0.0166986026292	0.0844907574008	0.0496180361316	-0.0030021734661	-0.0135079205930	-0.0290618082100	0.0537767034973
 HG00272	-0.0119746135005	0.0219837621752	0.0099586748400	0.0155789334084	0.0785189916287	0.0501871928441	-0.0012506449173	-0.0104667843086	-0.0238289326056	0.0319731560271
 HG00273	-0.0121608028490	0.0236212185759	0.0112494906053	0.0177662673721	0.0622893491890	0.0349290368619	-0.0002471678068	-0.0070364146058	-0.0067167127442	0.0162427645157
 HG00274	-0.0122655473938	0.0243707669805	0.0123026859620	0.0173497381156	0.0666187788848	0.0395926974304	-0.0017651575256	-0.0080018889487	-0.0121580861398	0.0291126894372
 HG00275	-0.0119233089635	0.0244080698047	0.0109907734344	0.0186621644672	0.0581554291440	0.0361484132183	-0.0025213865285	-0.0050326299534	-0.0204897948023	0.0202347464333
 HG00276	-0.0119156925347	0.0232217882312	0.0120829212453	0.0151347745146	0.0729984704967	0.0412433811972	-0.0023833765089	-0.0133274858564	-0.0254392107101	0.0355021351461
 HG00277	-0.0121250675984	0.0247528811726	0.0102573775342	0.0164480096516	0.0503248081235	0.0297940336731	0.0004819697783	-0.0043118930717	-0.0004457221602	-0.0006990923207
 HG00278	-0.0119860388006	0.0232745483660	0.0110879272037	0.0151971960722	0.0750863405086	0.0461761619723	-0.0050691937722	-0.0113061184307	-0.0210288109226	0.0416438721834
 HG00280	-0.0120683110999	0.0233292246242	0.0116809367620	0.0164469653844	0.0703979371748	0.0418185146704	-0.0016259608249	-0.0100924431954	-0.0175246490842	0.0311859868291
 HG00281	-0.0125004310467	0.0230200984565	0.0122062768734	0.0152257116095	0.0672579344061	0.0417566431503	-0.0015401508339	-0.0087289342841	-0.0149800965227	0.0365887836350
 HG00282	-0.0120491878838	0.0229244430298	0.0109399082238	0.0172796971472	0.0740429614520	0.0416300878327	-0.0032398683229	-0.0110952068196	-0.0172777883959	0.0249130841564
 HG00284	-0.0123121046088	0.0236090442779	0.0113079046743	0.0166565039375	0.0682889559554	0.0410060747073	-0.0014744980381	-0.0101348272330	-0.0080318464533	0.0274493884071
 HG00285	-0.0122052508940	0.0222298795163	0.0111611822259	0.0165439059745	0.0777527783293	0.0475389567998	-0.0001173144742	-0.0134557399593	-0.0210882303074	0.0367454091945
 HG00288	-0.0121803558759	0.0232830656033	0.0098719372887	0.0150203346469	0.0817855493616	0.0462792945659	-0.0022098786148	-0.0157820736572	-0.0158886595176	0.0472603428323
 HG00290	-0.0124002691571	0.0223635798035	0.0102594963184	0.0149451761821	0.0815225954406	0.0484671646218	-0.0021231473983	-0.0150944360096	-0.0203427939370	0.0465096422736
 HG00304	-0.0118942872400	0.0236123624103	0.0111684178821	0.0162081813865	0.0800013991333	0.0493917660424	-0.0026695097353	-0.0127551042546	-0.0221032277993	0.0507702347979
 HG00306	-0.0120651954676	0.0242430544459	0.0101796948021	0.0163725030870	0.0600003725898	0.0336868030004	-0.0024960342944	-0.0062858395360	0.0025835196618	0.0030205656875
 HG00308	-0.0121010890306	0.0228289975912	0.0114491342287	0.0162860942046	0.0672595924233	0.0442315463108	-0.0032091088641	-0.0075624852950	-0.0220361231826	0.0405431182031
 HG00309	-0.0120258162439	0.0228084055844	0.0125351399430	0.0164995903323	0.0714590040309	0.0406820120191	-0.0025510758593	-0.0097565418462	-0.0080860416076	0.0252264058759
 HG00310	-0.0120666176853	0.0246355774409	0.0115878612684	0.0175975934366	0.0625641084931	0.0351714659058	-0.0014597484936	-0.0059251561940	-0.0072457752602	0.0096432577876
 HG00311	-0.0121650395836	0.0247748156969	0.0122197169700	0.0174580374439	0.0495849963206	0.0335778086392	-0.0005862772754	-0.0076625086387	-0.0064014178439	0.0115719781277
 HG00313	-0.0120998788201	0.0227538829372	0.0121288953734	0.0169957296847	0.0738940954460	0.0421810524188	-0.0001218226243	-0.0119880751412	-0.0248010309672	0.0425564149446
 HG00315	-0.0120627705377	0.0232224961700	0.0119357544997	0.0151727760626	0.0654028074272	0.0405744589760	-0.0011078374859	-0.0117048368834	-0.0223427818369	0.0360058259954
 HG00318	-0.0121158782985	0.0242525325842	0.0114294603336	0.0168954016240	0.0678219235058	0.0380643004525	-0.0017168229317	-0.0105177890599	-0.0111746400512	0.0201280933050
 HG00319	-0.0120121183396	0.0227242133152	0.0111649679389	0.0164405083228	0.0712696910508	0.0432078353818	-0.0050428729929	-0.0119567128484	-0.0192234820879	0.0324588786663
 HG00320	-0.0120796378548	0.0234314355091	0.0116996188766	0.0163379928204	0.0597282172412	0.0386526771558	-0.0031298241159	-0.0110630980484	-0.0114585293572	0.0192138563441
 HG00321	-0.0122989679940	0.0226754266156	0.0116493056561	0.0156606888021	0.0670915213030	0.0429789408605	-0.0032995672599	-0.0116224360279	-0.0234449487637	0.0279606146045
 HG00323	-0.0119673696244	0.0229866201971	0.0112585927259	0.0171335021360	0.0791251076652	0.0489425218576	-0.0016312067835	-0.0135675266480	-0.0249395469744	0.0428236839291
 HG00324	-0.0120235199718	0.0228915701760	0.0124210404315	0.0159454182125	0.0832726643362	0.0488691824739	0.0000059553411	-0.0119871246096	-0.0198964900430	0.0528416466955
 HG00325	-0.0126670599693	0.0218609571395	0.0121755500474	0.0162085243190	0.0832327968201	0.0509170258784	-0.0010907866727	-0.0110695830771	-0.0158766650090	0.0462254660205
 HG00326	-0.0121957420313	0.0232547672548	0.0127297067881	0.0167847542615	0.0723897750816	0.0406786810950	-0.0032166928244	-0.0121725065249	-0.0021071434844	0.0371740232891
 HG00327	-0.0122110353989	0.0230056733470	0.0111274931029	0.0162213082240	0.0698721989509	0.0411597718953	0.0008237652568	-0.0144324355678	-0.0205307392620	0.0339137314622
 HG00328	-0.0121453734629	0.0238828494111	0.0124663630058	0.0158811863913	0.0661508272884	0.0417049600688	-0.0021141843953	-0.0099191565766	-0.0219408676542	0.0237868296783
 HG00329	-0.0120409000352	0.0243394580358	0.0108528353375	0.0165006773152	0.0597154088360	0.0344863956495	-0.0012389639798	-0.0069375049907	-0.0218681139999	0.0286472444228
 HG00330	-0.0119566912972	0.0232432009024	0.0116598723756	0.0167219230010	0.0636221114906	0.0379591304989	-0.0027893127246	-0.0113467662518	-0.0098734408155	0.0157822974938
 HG00331	-0.0120763478012	0.0238741877337	0.0122802658081	0.0157878438307	0.0622647068938	0.0356036100297	-0.0008300548528	-0.0100933259715	-0.0164649606950	0.0207166115820
 HG00332	-0.0119935956869	0.0230513470159	0.0106934576129	0.0156279563152	0.0595467143623	0.0375509399086	-0.0036081678158	-0.0053354615700	-0.0167877496165	0.0122437998401
 HG00334	-0.0119854807891	0.0244443306518	0.0127724838978	0.0170634883577	0.0603090907483	0.0386235446963	-0.0019061535593	-0.0089552137361	-0.0117165868262	0.0271733820055
 HG00335	-0.0122204450513	0.0237018250791	0.0121426826402	0.0176920096886	0.0671972425387	0.0409792461022	-0.0021688334556	-0.0112256491012	-0.0125366964578	0.0279217417167
 HG00336	-0.0121306498831	0.0228269976717	0.0111852615142	0.0161757425265	0.0710806912466	0.0376164344398	-0.0027030109340	-0.0109139425864	-0.0195261114918	0.0369967056572
 HG00337	-0.0120087081294	0.0248697051848	0.0126293161378	0.0177665206003	0.0559095019194	0.0330320709650	-0.0011459657540	-0.0098467856925	-0.0050792754646	0.0104935267272
 HG00338	-0.0117739205572	0.0239976375496	0.0113434821803	0.0176478408843	0.0712174984787	0.0449289825918	-0.0012746863257	-0.0098079769473	-0.0177586903317	0.0239640076029
 HG00339	-0.0122562621088	0.0227708945725	0.0105956675170	0.0164568588332	0.0645401765985	0.0387717331363	-0.0005673905703	-0.0081519659710	-0.0018860298040	0.0202008818211
 HG00341	-0.0113357922136	0.0236549937749	0.0090177780773	0.0150780300243	0.0426835969642	0.0257499111305	-0.0016682973083	-0.0077427254305	-0.0050162066653	0.0112332403358
 HG00342	-0.0124096720306	0.0224999013425	0.0117599684912	0.0174218573325	0.0765888725432	0.0465148845941	-0.0033454994987	-0.0120693379828	-0.0220199135778	0.0384489245788
 HG00343	-0.0119436253549	0.0234129368870	0.0122142353587	0.0168566591163	0.0741310644822	0.0446187438759	-0.0026403713496	-0.0131539436240	-0.0203807552718	0.0326852756512
 HG00344	-0.0120122359212	0.0249171593388	0.0103788666560	0.0179996923057	0.0405665715049	0.0255379944171	-0.0028976990979	-0.0033099242705	0.0059595886738	-0.0057380639664
 HG00345	-0.0120213426447	0.0235266349873	0.0117508800981	0.0175769182968	0.0702106106250	0.0413327242079	0.0002412810729	-0.0093909634216	-0.0097833337842	0.0262401914417
